,use_case,missing_fileds
10,supplies_under_a_free_zone,"['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'invoice_currency_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'transaction_type_code_flag', 'vat_treatment_for_goods_declaration', 'vat_treatment_for_services_declaration', 'declaration_for_beneficiary', 'proof_of_movement_documentation', 'tax_category_code_for_vat_treatment']"
11,supplies_under_a_free_zone,"['invoice_number', 'invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_legal_registration_identifier', 'buyer_legal_registration_identifier_type', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'transaction_type_code_flag', 'vat_treatment_for_goods_declaration', 'vat_treatment_for_services_declaration', 'declaration_for_beneficiary', 'proof_of_movement_documentation', 'tax_category_code_for_vat_treatment']"
12,exports,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'transaction_type_code', 'vat_treatment_status', 'export_specific_fields', 'buyer_information_and_transmission_details', 'proof_of_export_documentation']"
13,exports,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'transaction_type_code', 'vat_treatment_status', 'export_specific_fields', 'buyer_information_and_transmission_details', 'proof_of_export_documentation']"
14,exports,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'transaction_type_code', 'vat_treatment_status', 'export_specific_fields', 'buyer_information_and_transmission_details', 'proof_of_export_documentation']"
15,imports,"['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'customs_declaration_number', 'customs_declaration_date', 'vat_handling_details']"
16,imports,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'customs_declaration_number', 'customs_declaration_date', 'vat_handling_details']"
17,imports,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'customs_declaration_number', 'customs_declaration_date', 'vat_handling_details']"
18,self_billed_invoice,"['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'self_billing_agreement_reference', 'invoice_document_type_code', 'mandatory_statement', 'true_reflection_of_supply']"
19,self_billed_invoice,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'self_billing_agreement_reference', 'invoice_document_type_code', 'mandatory_statement', 'true_reflection_of_supply']"
20,self_billed_invoice,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'self_billing_agreement_reference', 'invoice_document_type_code', 'mandatory_statement', 'true_reflection_of_supply']"
21,credit_note,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'document_title', 'unique_reference_number', 'reference_to_original_invoice', 'description_of_adjustments', 'financial_details', 'reason_for_issuance']"
22,credit_note,"['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_identifier_trn', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'document_title', 'unique_reference_number', 'reference_to_original_invoice', 'description_of_adjustments', 'financial_details', 'reason_for_issuance']"
23,credit_note,"['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'invoice_line_net_amount', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'document_title', 'unique_reference_number', 'reference_to_original_invoice', 'description_of_adjustments', 'financial_details', 'reason_for_issuance']"
24,debit_note,"['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_legal_registration_identifier', 'buyer_legal_registration_identifier_type', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'document_title', 'unique_reference_number', 'reference_to_original_invoice', 'reason_for_issuance', 'financial_details']"
25,debit_note,"['invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'document_title', 'unique_reference_number', 'reference_to_original_invoice', 'reason_for_issuance', 'financial_details']"
26,debit_note,"['invoice_number', 'invoice_date', 'invoice_type_code', 'invoice_transaction_type_code', 'payment_due_date', 'business_process_type', 'specification_identifier', 'payment_means_type_code', 'seller_electronic_address', 'seller_electronic_identifier', 'seller_legal_registration_identifier', 'seller_legal_registration_identifier_type', 'seller_tax_scheme_code', 'seller_country_subdivision', 'buyer_electronic_address', 'buyer_electronic_identifier', 'buyer_legal_registration_identifier', 'buyer_legal_registration_identifier_type', 'buyer_tax_scheme_code', 'buyer_country_subdivision', 'sum_of_invoice_line_net_amount', 'invoice_total_amount_without_tax', 'invoice_total_tax_amount', 'invoice_total_amount_with_tax', 'amount_due_for_payment', 'tax_category_taxable_amount', 'tax_category_tax_amount', 'tax_category_code', 'tax_category_rate', 'vat_line_amount', 'invoice_line_identifier', 'unit_of_measure_code', 'item_net_price', 'item_gross_price', 'item_price_base_quantity', 'invoiced_item_tax_category_code', 'invoiced_item_tax_rate', 'item_name', 'item_description', 'document_title', 'unique_reference_number', 'reference_to_original_invoice', 'reason_for_issuance', 'financial_details']"
